Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DAFD0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB050
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB0D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB150
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB1D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB250
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB2D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB350
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB3D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB450
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB4D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB550
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB5D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB650
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB6D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB750
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB7D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB850
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB8D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB950
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB9D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBA50
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBAD0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBB50
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBBD0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBC50
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBCD0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBD50
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBDD0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBE50
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBED0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBF50
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBFD0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC050
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC0D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC150
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC1D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC250
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC2D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC350
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC3D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC450
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC4D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC550
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC5D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC650
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC6D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC750
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC7D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC850
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC8D0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC950
Values: Bottom:false	 Top:false	 Left:false	 Right:false	 Texture Type:003DC9D0
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DCA50
Values: Bottom:false	 Top:false	 Left:false	 Right:true	 Texture Type:003DCAD0
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DCB50
Values: Bottom:true	 Top:false	 Left:true	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DCBD0
Values: Bottom:false	 Top:false	 Left:false	 Right:false	 Texture Type:003DCC50
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DCCD0
Values: Bottom:false	 Top:false	 Left:false	 Right:true	 Texture Type:003DCD50
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DCDD0
Values: Bottom:true	 Top:false	 Left:true	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DCE50
Values: Bottom:false	 Top:false	 Left:false	 Right:true	 Texture Type:003DCED0
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DCF50
Values: Bottom:false	 Top:false	 Left:true	 Right:false	 Texture Type:003DCFD0
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DD050
Values: Bottom:true	 Top:false	 Left:false	 Right:false	 Texture Type:003DD150
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DD1D0
Values: Bottom:false	 Top:false	 Left:false	 Right:true	 Texture Type:003DD250
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DD2D0
Values: Bottom:false	 Top:false	 Left:true	 Right:false	 Texture Type:003DD350
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DD3D0
Values: Bottom:false	 Top:false	 Left:false	 Right:false	 Texture Type:003DD450
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DD4D0
Values: Bottom:true	 Top:false	 Left:false	 Right:false	 Texture Type:003DD5D0
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DD650
Values: Bottom:true	 Top:false	 Left:false	 Right:false	 Texture Type:003DD750
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DD7D0
Values: Bottom:true	 Top:false	 Left:false	 Right:false	 Texture Type:003DD8D0
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DD950
Values: Bottom:true	 Top:false	 Left:false	 Right:false	 Texture Type:003DDA50
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DDAD0
Values: Bottom:false	 Top:false	 Left:false	 Right:true	 Texture Type:003DDB50
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DDBD0
Values: Bottom:false	 Top:false	 Left:true	 Right:false	 Texture Type:003DDC50
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DDCD0
Values: Bottom:false	 Top:false	 Left:false	 Right:true	 Texture Type:003DDD50
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DDDD0
Values: Bottom:true	 Top:false	 Left:true	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DB010
Values: Bottom:false	 Top:false	 Left:false	 Right:true	 Texture Type:003DB090
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DB110
Values: Bottom:false	 Top:false	 Left:true	 Right:false	 Texture Type:003DB190
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DB210
Values: Bottom:true	 Top:false	 Left:false	 Right:false	 Texture Type:003DB310
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DB390
Values: Bottom:false	 Top:false	 Left:false	 Right:false	 Texture Type:003DB410
Values: Bottom:true	 Top:false	 Left:true	 Right:true	 Texture Type:003DB490
Values: Bottom:false	 Top:false	 Left:false	 Right:false	 Texture Type:003DB510
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB590
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB610
Values: Bottom:true	 Top:true	 Left:false	 Right:true	 Texture Type:003DB690
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB710
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB790
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB810
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB890
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB910
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DB990
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBA10
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBA90
